rsi_length,rsi_overbought,rsi_oversold,sl_multiplier,tp_multiplier,total_pnl,max_drawdown,total_trades,profitable_trades,profitable_pct,profit_factor,final_equity
8,60.0,40.0,1.0,2.1,-27.9951,28.12,52,11,21.15,0.0959,72.0
8,60.0,40.0,1.0,2.2,-31.3489,31.53,59,12,20.34,0.0985,68.65
8,60.0,40.0,1.0,2.3,-32.1668,32.41,61,13,21.31,0.108,67.83
8,60.0,40.0,1.0,2.4,-34.2427,34.54,68,14,20.59,0.1136,65.76
8,60.0,40.0,1.0,2.5,-33.9509,34.31,71,14,19.72,0.126,66.05
8,60.0,40.0,1.1,1.0,-5.9611,5.96,10,2,20.0,0.1064,94.04
8,60.0,40.0,1.1,1.1,-6.8467,6.88,13,4,30.77,0.1223,93.15
8,60.0,40.0,1.1,1.2,-8.7022,8.78,18,4,22.22,0.1248,91.3
8,60.0,40.0,1.1,1.3,-9.3686,9.37,21,4,19.05,0.1402,90.63
8,60.0,40.0,1.1,1.4,-8.7948,8.87,21,6,28.57,0.1732,91.21
8,60.0,40.0,1.1,1.5,-12.5764,12.6,26,7,26.92,0.1509,87.42
8,60.0,40.0,1.1,1.6,-17.8681,17.93,31,9,29.03,0.073,82.13
8,60.0,40.0,1.1,1.7,-18.4517,18.55,34,9,26.47,0.0891,81.55
8,60.0,40.0,1.1,1.8,-22.3734,22.51,40,10,25.0,0.0902,77.63
8,60.0,40.0,1.1,1.9,-26.4615,26.64,43,9,20.93,0.0766,73.54
